TimeStamp,Open,High,Low,Close,Volume,DataTime,ema7,ema25,ema50,ema144,ema169,dif,dea,macd,ao
1678492800000,20140.3,20674.5,19752.5,20447.3,753479.558,2023-03-11 08:00:00,21188.612224874767,22329.235180034306,22107.04832511877,21134.98136386542,21327.528777260028,-597.7518746846981,-217.19851309986927,-380.55336158482885,-1875.7200000000084
1678579200000,20447.3,22184.0,20262.2,21986.2,881522.402,2023-03-12 08:00:00,21388.009168656077,22302.847858493205,22102.30917511411,21146.722310570723,21335.277850468734,-534.2234758555605,-280.60350565100754,-253.619970204553,-1893.2088235294177
1678665600000,21986.2,24517.2,21804.0,24119.5,1534982.176,2023-03-13 08:00:00,22070.881876492058,22442.590330916806,22181.414697658656,21187.726140769748,21368.033405169102,-308.18471921329547,-286.11974836346513,-22.06497084983033,-1434.4300000000076
1678752000000,24119.5,26489.9,23951.0,24682.5,1572562.635,2023-03-14 08:00:00,22723.786407369043,22614.891074692438,22279.49647422106,21235.92991813844,21407.02712981417,-82.66506977319295,-245.4288126454107,162.76374287221773,-618.3723529411836
1678838400000,24682.5,25200.0,23888.0,24288.0,1102056.429,2023-03-15 08:00:00,23114.839805526783,22743.591761254556,22358.261318369256,21278.027436508946,21440.920928286945,63.49608086817898,-183.64383394269277,247.13991481087174,137.7970588235221
1678924800000,24287.9,25167.9,24120.5,24990.4,735446.946,2023-03-16 08:00:00,23583.729854145087,22916.423164234977,22461.482443139088,21329.23257531572,21482.679505601216,233.31810965138357,-100.2514452238775,333.5695548752611,947.2464705882267
1679011200000,24990.5,27763.4,24875.3,27384.0,1341159.064,2023-03-17 08:00:00,24533.797390608815,23260.082920832287,22654.522347329712,21412.74660875964,21552.10680553532,554.6531110097203,30.72946602284206,523.9236449868782,1864.0799999999945
1679097600000,27383.9,27726.4,26555.5,26907.0,740232.316,2023-03-18 08:00:00,25127.09804295661,23540.61500384519,22821.286176846195,21488.52941415606,21615.10554899961,762.0391877319526,176.99141036466415,585.0477773672884,2270.5241176470518
1679184000000,26907.0,28397.0,26815.9,27955.7,759367.078,2023-03-19 08:00:00,25834.248532217458,23880.236926626327,23022.6357385385,21577.73176706425,21689.70077783491,999.4939294632495,341.49191418438124,658.0020152788683,2743.1199999999917
1679270400000,27955.8,28483.2,27120.6,28204.0,514476.841,2023-03-20 08:00:00,26426.686399163093,24212.83408611661,23225.826493889934,21669.128570277157,21766.339592213324,1193.951132478218,511.9837578431486,681.9673746350693,3349.361176470582
